audit_id,transaction_id,event_type,timestamp,from_state,to_state,proposed_action,final_action,policy_note,reason,policy_version,actor,correlation_id
AUD_20260903104115932694,TXN0001,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.932694+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0001
AUD_20260903104115934086,TXN0002,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.934086+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0002
AUD_20260903104115935155,TXN0003,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.935155+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0003
AUD_20260903104115936252,TXN0004,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.936252+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0004
AUD_20260903104115937432,TXN0005,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.937432+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0005
AUD_20260903104115938154,TXN0006,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.938154+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0006
AUD_20260903104115938813,TXN0007,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.938813+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0007
AUD_20260903104115939471,TXN0008,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.939471+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0008
AUD_20260903104115940095,TXN0009,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.940095+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0009
AUD_20260903104115940733,TXN0010,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.940733+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0010
AUD_20260903104115941366,TXN0011,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.941366+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0011
AUD_20260903104115942018,TXN0012,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.942018+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0012
AUD_20260903104115942678,TXN0013,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.942678+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0013
AUD_20260903104115943351,TXN0014,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.943351+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0014
AUD_20260903104115944002,TXN0015,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.944002+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0015
AUD_20260903104115944688,TXN0016,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.944688+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0016
AUD_20260903104115945377,TXN0017,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.945377+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0017
AUD_20260903104115946044,TXN0018,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.946044+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0018
AUD_20260903104115946746,TXN0019,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.946746+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0019
AUD_20260903104115947480,TXN0020,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.947480+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0020
AUD_20260903104115948164,TXN0021,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.948164+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0021
AUD_20260903104115948862,TXN0022,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.948862+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0022
AUD_20260903104115949559,TXN0023,FAILED_PAYMENT_RECEIVED,2026-09-03T10:41:15.949559+00:00,,FAILED,,,,,v1.0,RECOVERY_PIPELINE,RECOVERY_TXN0023
